20240702	10:26:57	8d25ca20-0313-4ee4-9668-086a1c9f124d	GET	/	undefined
20240702	10:26:57	919a8e45-d5e2-4e5b-8836-72a2fbec0f83	GET	/css/style.css	undefined
20240702	10:26:57	a2f574bb-caeb-438c-86aa-1066ae71ad86	GET	/favicon.ico	undefined
20240702	10:27:11	2b0fa016-63b6-40eb-9eff-6c2c65dc2c1c	OPTIONS	/auth	http://localhost:3000
20240702	10:27:11	eec12260-f975-4633-8dd8-0a449e51a4e2	POST	/auth	http://localhost:3000
20240702	10:27:11	d37cc2ea-12a4-408b-a86c-10c4d9037168	OPTIONS	/notes	http://localhost:3000
20240702	10:27:11	b0ad354b-e664-4d38-bde6-9d1694ae38d9	OPTIONS	/users	http://localhost:3000
20240702	10:27:11	c575c249-6d7d-4789-9ab9-91ab9784381d	GET	/notes	http://localhost:3000
20240702	10:27:11	4f16ff47-c274-4115-bbf4-033b8b11971b	GET	/users	http://localhost:3000
20240702	10:33:41	047a7024-239e-49a0-bf3c-468e646bf873	OPTIONS	/auth	http://localhost:3000
20240702	10:33:41	764330c0-fd77-4aad-b3a3-d8b84fbc4bea	POST	/auth	http://localhost:3000
20240702	10:33:41	c70036a3-29a0-4862-8160-814e23aeb24e	OPTIONS	/notes	http://localhost:3000
20240702	10:33:41	c7fbb87a-c745-4bd1-a7f1-760b0f7ffc0a	OPTIONS	/users	http://localhost:3000
20240702	10:33:41	ae7f947d-7f73-4698-bc03-764c3f0b7484	GET	/notes	http://localhost:3000
20240702	10:33:41	07bd9f8b-831f-47fa-b378-c0b396c3462f	GET	/users	http://localhost:3000
20240702	10:35:19	f7dd8821-9a84-47dd-80ae-d99b604eb925	OPTIONS	/auth	http://localhost:3000
20240702	10:35:19	1df540df-7e9c-424f-b712-b0ec436076f6	POST	/auth	http://localhost:3000
20240702	10:35:19	dadd1e1e-2bab-460c-a941-3d231847b744	OPTIONS	/notes	http://localhost:3000
